anio,cve_ent,glofas,isimip2a
2010,18,1935904140.8724177,127771955.19808337
2010,19,7272469259.958651,26940341.845339373
2010,20,2632136819.0964193,3129436090.8484526
2010,21,10759847.234760225,92534479.59614642
2010,22,1956993.5170909534,802347.6939038836
2010,23,7912496.822278319,21048259.384159647
2010,24,317670204.5897362,666686513.6395333
2010,25,3064379403.9986596,1930192912.8183792
2010,26,1891237011.3223662,48815739.898953915
2010,27,32958827842.79622,25438551630.94999
2010,28,18185098484.78576,3207326104.800634
2010,29,0.0,16674994.237819424
2010,30,11064505849.777609,10139757106.410315
2010,31,0.0,1383435.6078064945
2010,32,89074291.21905372,0.0
