anio,cve_ent,metodo,perdida
2004,01,glofas,526898329.87075186
2004,02,glofas,88781473.62773742
2004,03,glofas,10.039391741751967
2004,04,glofas,90244225.70757717
2004,05,glofas,1255375335.6517348
2004,06,glofas,117296376.74477033
2004,07,glofas,886213868.5663192
2004,08,glofas,522282961.6338242
2004,09,glofas,4315092746.713087
2004,10,glofas,560985178.1102359
2004,11,glofas,2393581419.720292
2004,12,glofas,244095719.2756214
2004,13,glofas,13628485.426082231
2004,14,glofas,3198187447.9427786
2004,15,glofas,21783291162.9726
2004,16,glofas,1183819743.546867
2004,17,glofas,492066.55768188805
2004,18,glofas,1243201853.269123
2004,19,glofas,4942337908.092991
2004,20,glofas,457996003.1827908
2004,21,glofas,6136338.926879605
2004,22,glofas,667636.5529328425
2004,23,glofas,5037873.3334367955
2004,24,glofas,100202527.9782652
2004,25,glofas,6364119360.767598
2004,26,glofas,1385028103.285635
2004,27,glofas,7706546552.845417
2004,28,glofas,7911573690.347364
2004,29,glofas,0.0
2004,30,glofas,4390868150.148992
2004,31,glofas,0.0
2004,32,glofas,44110063.05093081
2005,01,glofas,1245035497.103862
2005,02,glofas,59748663.0799587
2005,03,glofas,9.97525187585945
2005,04,glofas,101880765.69431303
2005,05,glofas,934543964.8619044
2005,06,glofas,161918418.79884404
2005,07,glofas,2296746881.4663777
2005,08,glofas,751809260.3569309
2005,09,glofas,31366454670.425175
2005,10,glofas,452116424.01546293
2005,11,glofas,1605861331.42205
2005,12,glofas,396612376.1003156
2005,13,glofas,21270529.548803758
2005,14,glofas,2260461798.10426
2005,15,glofas,93423289628.70341
2005,16,glofas,1721820368.191757
2005,17,glofas,537262.440934767
2005,18,glofas,1063228682.496644
2005,19,glofas,4854362389.995739
2005,20,glofas,1783929971.9145558
2005,21,glofas,9590275.852065044
2005,22,glofas,734892.5383027559
2005,23,glofas,7007830.461656725
2005,24,glofas,149102520.08556667
2005,25,glofas,3232582597.6748867
2005,26,glofas,1373599686.1404996
2005,27,glofas,26788938213.958187
2005,28,glofas,12557323732.794771
2005,29,glofas,0.0
2005,30,glofas,7981097973.694445
2005,31,glofas,0.0
2005,32,glofas,39626423.452725634
2006,01,glofas,674244897.5670818
2006,02,glofas,20327876.822348595
2006,03,glofas,84.26663640334097
2006,04,glofas,95070473.11005016
2006,05,glofas,1129563806.7707276
2006,06,glofas,249365224.1334195
2006,07,glofas,2021552726.1731582
2006,08,glofas,873241186.1063036
2006,09,glofas,4509490773.250505
2006,10,glofas,724631768.6304129
2006,11,glofas,3353348537.221209
2006,12,glofas,355043057.46979487
2006,13,glofas,11147463.087467724
2006,14,glofas,3542247855.388447
2006,15,glofas,17443439059.84261
2006,16,glofas,2091703045.986628
2006,17,glofas,354173.1344529012
2006,18,glofas,1157485451.8663757
2006,19,glofas,2585829591.4471307
2006,20,glofas,1987059800.1096165
2006,21,glofas,5554238.732876357
2006,22,glofas,967247.4261105147
2006,23,glofas,5067365.830940196
2006,24,glofas,93593744.99598987
2006,25,glofas,4050246310.6038666
2006,26,glofas,1409827029.8140736
2006,27,glofas,12803220275.514992
2006,28,glofas,8523529934.53575
2006,29,glofas,0.0
2006,30,glofas,5977579481.528668
2006,31,glofas,0.0
2006,32,glofas,49360929.03874278
2007,01,glofas,1947713983.4571674
2007,02,glofas,68144393.99852876
